ProlificID,SyntheticPersonID,AttnCheck,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Condition
674bfd855d300ddd3a4628ab,1545,,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,8617,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,14105,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,12001,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,2586,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,512,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,15204,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,16181,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,17134,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,12805,lose power,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,13964,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,19132,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,19856,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,10413,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,446,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,15938,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,14845,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,7395,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,3237,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,1861,Green,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,8166,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,16357,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,6044,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,11086,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,1024,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,13676,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,13735,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
674bfd855d300ddd3a4628ab,4442,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
5e59ee3a2bff541fcf05d86e,1545,,Moderately harmful,Very harmful,Moderately harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
5e59ee3a2bff541fcf05d86e,8617,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
5e59ee3a2bff541fcf05d86e,14105,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
5e59ee3a2bff541fcf05d86e,12001,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
5e59ee3a2bff541fcf05d86e,2586,,Very harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
5e59ee3a2bff541fcf05d86e,512,,Very harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
5e59ee3a2bff541fcf05d86e,15204,,Very harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
5e59ee3a2bff541fcf05d86e,16181,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
5e59ee3a2bff541fcf05d86e,17134,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
